acpi 1.7-3
alacritty 0.13.2-2
alsa-utils 1.2.11-1
archlinux-contrib 20221211-2
archlinux-themes-sddm 2.0-1
atool 0.39.0-8
audacity 1:3.4.2-5
autoconf 2.72-1
automake 1.16.5-2
bacon 2.14.1-1
balena-etcher 2:1.18.14-1
base 3-2
base-devel 1-1
bashburn 3.1.0-5
bat 0.24.0-1
binutils 2.42-2
bison 3.8.2-6
blueman 2.4.1-1
bluez 5.73-4
bluez-utils 5.73-4
cargo-cache 0.8.3-2
cargo-expand 1.0.82-1
cargo-nextest 0.9.67-1
cargo-watch 8.5.2-1
catdoc 0.95-5
catppuccin-gtk-theme-mocha 0.7.3-1
cdrtools 3.02a09-5
cdw 0.8.1-2
clipman 1.6.2-1
clipmenu 6.2.0-2
cmake 3.29.2-1
code 1.88.0-1
colorpicker 1.0.f5d441a-2
cups 1:2.4.7-2
cups-pdf 3.0.1-7
dhcpcd 10.0.6-1
dmenu 5.3-2
docker 1:26.0.1-1
docker-compose 2.26.1-1
docx2txt 1.4-5
duf 0.8.1-2
dunst 1.10.0-1
dvd+rw-tools 7.1-9
efibootmgr 18-3
emacs-all-the-icons 3.2.0-1
emacs-nativecomp 29.3-2
emacs-spinner 1.7.4-1
epson-inkjet-printer-escpr 1.8.5-1
evtest 1.35-1
expac 10-10
eza 0.18.10-1
fakeroot 1.34-1
fd 9.0.0-2
ffmpegthumbnailer 2.2.2-5
filezilla 3.66.5-1
firefox 124.0.2-1
flex 2.6.4-5
fzf 0.48.1-1
gcc 13.2.1-5
gdb 14.2-1
gimp 2.10.36-6
git 2.44.0-1
gnome-icon-theme 3.12.0-7
gnome-screenshot 41.0+r25+g45f08f0-1
gparted 1.6.0-1
grub 2:2.12-2
gst-libav 1.24.1-2
gthumb 3.12.6-1
gtk2 2.24.33-3
gutenprint 5.3.4-3
gvim 9.1.0252-1
handbrake 1.7.3-1
highlight 4.11-2
hsetroot 1.0.5-1
htop 3.3.0-1
hyprland-git 0.38.0.r94.b1a94302-1
hyprpaper 0.6.0-4
hyprpicker 0.2.0-2
i2c-tools 4.3-4
i8kutils 1.43-3
id3v2 0.1.12-6
imagemagick 7.1.1.30-2
imv 4.5.0-1
ink 0.5.3-1
insomnia-bin 1:8.6.1-1
ipython 8.22.2-1
iwd 2.17-2
j4-dmenu-desktop 2.18-5
jq 1.7.1-1
jupyter-notebook 7.1.2-1
kitty 0.33.1-3
lazygit 0.41.0-1
ledger 3.3.2-4
libdvdcss 1.4.3-1
libinklevel 0.9.5-1
libreoffice-fresh 24.2.2-2
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
lightdm-gtk-greeter-settings 1.2.3-1
lightdm-slick-greeter 2.0.3-1
linux 6.8.5.arch1-1
linux-firmware 20240409.1addd7dc-1
